Make,Model,Variant,Ex-Showroom_Price (in Rupees),Displacement(in cc),Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity(in Litres),Fuel_Type,Height(in mm),Length(in mm),Width(in mm),Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase(in mm),Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space(in),CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,Ambient_Lightning,Cargo/Boot_Lights,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight(in Kg),Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,ASR_/_Traction_Control,Cruise_Control,USB_Ports
Toyota,Etios Liva,Gd,647800,1364,4,2,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45,Diesel,1510,3884,1695,Hatchback,5,20.3 km/litre,23.59 km/litre,23.59 km/litre,5,170 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,175/65R14,175/65R14,Electric Power,All Windows,Remote,68PS@3800rpm,170Nm@1800-2400rpm,Digital,Analog,Yes,Yes,5,Fabric,Manual,2460,175/65R14,No,Yes,Not on offer,Yes,No,3 years /100000 Kms (years/distance whichever comes first),No,Internal,251,No,No,Yes,Digital,Front,No,Front & Rear,Yes,2 years /100000 Kms (years/distance whichever comes first),No,With Remote,Digital,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,1475,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,No,2,Yes,No,No,No,No,No,Manual Adjustment,No,No,No,No,No,Yes,No,Yes,No,No,No,No,1
Toyota,Etios Liva,Vx,630000,1197,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45,Petrol,1510,3884,1695,Hatchback,5,15.1 km/litre,17.71 km/litre,18.16 km/litre,5,170 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,185/60R15,185/60R15,Electric Power,All Windows,Remote,80PS@5600rpm,104Nm@3100rpm,Digital,Analog,Digital,Yes,5,Fabric,Manual,2460,185/60R15,No,Yes,USB & Aux-in,Yes,No,3 years /100000 Kms (years/distance whichever comes first),Yes,Internal,251,Yes,Yes,Yes,Digital,Front,No,Front & Rear,Yes,2 years /100000 Kms (years/distance whichever comes first),Yes,With Remote,Digital,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,1475,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,No,2,Yes,Yes,No,No,No,No,Manual Adjustment,No,No,No,No,No,Yes,No,Yes,No,No,No,No,1
Toyota,Etios Liva,Vxd,745000,1364,4,2,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45,Diesel,1510,3884,1695,Hatchback,5,20.3 km/litre,23.08 km/litre,23.59 km/litre,5,170 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,185/60R15,185/60R15,Electric Power,All Windows,Remote,68PS@3800rpm,170Nm@1800-2400rpm,Digital,Analog,Digital,Yes,5,Fabric,Manual,2460,185/60R15,No,Yes,DVD Player with USB & Aux-in,Yes,No,3 years /100000 Kms (years/distance whichever comes first),Yes,Internal,251,Yes,Yes,Yes,Digital,Front,No,Front & Rear,Yes,2 years /100000 Kms (years/distance whichever comes first),Yes,With Remote,Digital,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,1475,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,No,2,Yes,Yes,No,No,No,No,Manual Adjustment,No,No,No,No,No,Yes,No,Yes,No,No,No,No,1
Toyota,Etios Liva,Vd,704000,1364,4,2,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45,Diesel,1510,3884,1695,Hatchback,5,20.3 km/litre,23.08 km/litre,23.59 km/litre,5,170 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,175/65R14,175/65R14,Electric Power,All Windows,Remote,68PS@3800rpm,170Nm@1800-2400rpm,Digital,Analog,Digital,Yes,5,Fabric,Manual,2460,175/65R14,No,Yes,CD Player with USB & Aux-in,Yes,No,3 years /100000 Kms (years/distance whichever comes first),Yes,Internal,251,Yes,Yes,Yes,Digital,Front,No,Front & Rear,Yes,2 years /100000 Kms (years/distance whichever comes first),Yes,With Remote,Digital,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,All Rows,1475,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,No,2,Yes,Yes,No,No,No,No,Manual Adjustment,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,1
Toyota,Etios Liva,Dual Tone V,597700,1197,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45,Petrol,1510,3884,1695,Hatchback,5,15.1 km/litre,18.16 km/litre,18.16 km/litre,5,170 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,175/65R14,175/65R14,Electric Power,All Windows,Remote,80PS@5600rpm,104Nm@3100rpm,Digital,Analog,Digital,Yes,5,Fabric,Manual,2460,175/65R14,No,Yes,Not on offer,Yes,No,3 years /100000 Kms (years/distance whichever comes first),Yes,Internal,251,Yes,Yes,Yes,Digital,Front,No,Front & Rear,Yes,2 years /100000 Kms (years/distance whichever comes first),Yes,With Remote,Digital,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,All Rows,1475,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,No,2,Yes,Yes,No,No,No,No,Manual Adjustment,No,No,No,No,No,Yes,No,Yes,No,No,No,No,1
Toyota,Etios Liva,Dual Tone Vd,720700,1364,4,2,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45,Diesel,1510,3884,1695,Hatchback,5,20.3 km/litre,23.08 km/litre,23.59 km/litre,5,170 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,175/65R14,175/65R14,Electric Power,All Windows,Remote,68PS@3800rpm,170Nm@1800-2400rpm,Digital,Analog,Digital,Yes,5,Fabric,Manual,2460,175/65R14,No,Yes,CD Player with USB & Aux-in,Yes,No,3 years /100000 Kms (years/distance whichever comes first),Yes,Internal,251,Yes,Yes,Yes,Digital,Front,No,Front & Rear,Yes,2 years /100000 Kms (years/distance whichever comes first),Yes,With Remote,Digital,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,All Rows,1475,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,No,2,Yes,Yes,No,No,No,No,Manual Adjustment,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,1
Toyota,Etios Liva,Dual Tone Vx,641700,1197,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45,Petrol,1510,3884,1695,Hatchback,5,15.1 km/litre,17.71 km/litre,18.16 km/litre,5,170 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,185/60R15,185/60R15,Electric Power,All Windows,Remote,80PS@5600rpm,104Nm@3100rpm,Digital,Analog,Digital,Yes,5,Fabric,Manual,2460,185/60R15,No,Yes,USB & Aux-in,Yes,No,3 years /100000 Kms (years/distance whichever comes first),Yes,Internal,251,Yes,Yes,Yes,Digital,Front,No,Front & Rear,Yes,2 years /100000 Kms (years/distance whichever comes first),Yes,With Remote,Digital,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,1475,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,No,2,Yes,Yes,No,No,No,No,Manual Adjustment,No,No,No,No,No,Yes,No,Yes,No,No,No,No,1
Toyota,Etios Liva,Dual Tone Vxd,756700,1364,4,2,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45,Diesel,1510,3884,1695,Hatchback,5,20.3 km/litre,23.08 km/litre,23.59 km/litre,5,170 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,185/60R15,185/60R15,Electric Power,All Windows,Remote,68PS@3800rpm,170Nm@1800-2400rpm,Digital,Analog,Digital,Yes,5,Fabric,Manual,2460,185/60R15,No,Yes,DVD Player with USB & Aux-in,Yes,No,3 years /100000 Kms (years/distance whichever comes first),Yes,Internal,251,Yes,Yes,Yes,Digital,Front,No,Front & Rear,Yes,2 years /100000 Kms (years/distance whichever comes first),Yes,With Remote,Digital,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,1475,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,No,2,Yes,Yes,No,No,No,No,Manual Adjustment,No,No,No,No,No,Yes,No,Yes,No,No,No,No,1
Toyota,Etios Liva,Gxd,686000,1364,4,2,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45,Diesel,1510,3884,1695,Hatchback,5,20.3 km/litre,23.59 km/litre,23.59 km/litre,5,170 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,175/65R14,175/65R14,Electric Power,All Windows,Remote,68PS@3800rpm,170Nm@1800-2400rpm,Digital,Analog,Digital,Yes,5,Fabric,Manual,2460,175/65R14,No,Yes,Not on offer,Yes,No,3 years /100000 Kms (years/distance whichever comes first),No,Internal,251,No,Yes,Yes,Digital,Front,No,Front & Rear,Yes,2 years /100000 Kms (years/distance whichever comes first),No,With Remote,Digital,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,1475,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,No,2,Yes,No,No,No,No,No,Manual Adjustment,No,No,No,No,No,Yes,No,Yes,No,No,No,No,1
Toyota,Etios Liva,Vx Dual Tone Limited Edition,662700,1197,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45,Petrol,1510,3884,1695,Hatchback,5,15.1 km/litre,17.71 km/litre,18.16 km/litre,5,170 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,185/60R15,185/60R15,Electric Power,All Windows,Remote,80PS@5600rpm,104Nm@3100rpm,Digital,Analog,Digital,Yes,5,Fabric,Manual,2460,185/60R15,No,Yes,USB & Aux-in,Yes,No,3 years /100000 Kms (years/distance whichever comes first),Yes,Internal,251,Yes,Yes,Yes,Digital,Front,No,Front & Rear,Yes,2 years /100000 Kms (years/distance whichever comes first),Yes,With Remote,Digital,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,1475,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,No,2,Yes,Yes,No,No,No,No,Manual Adjustment,No,No,No,No,No,Yes,No,Yes,No,No,No,No,1
