Make,Model,Variant,Ex-Showroom_Price (in Rupees),Displacement(in cc),Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity(in Litres),Fuel_Type,Height(in mm),Length(in mm),Width(in mm),Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase(in mm),Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space(in),CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,Ambient_Lightning,Cargo/Boot_Lights,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight(in Kg),Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,ASR_/_Traction_Control,Cruise_Control,USB_Ports
Mahindra,Kuv100 Nxt,K6+ 6Str,631144,1198,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35,Petrol,1655,3700,1735,Hatchback,5,15.5 km/litre,18.15 km/litre,18.15 km/litre,5,170 mm,Ventilated Disc,Drum,Independent McPherson struts with offset coil spring/twin tube gas damper units and lower L-arms with optimised bushes mounted on separate cross-member with stabiliser bar. Dual-path body mounts.,"Semi-independent, Twist Beam with Coil Springs and Hydraulic Shock Absorbers",185/65R14,185/65R14,Electric Power,All Windows,Remote,82PS@5500RPM,115NM@3500-3600RPM,Digital,Yes,Analog,Yes,6,Fabric,Manual,2385,185/65R14,No,1,CD Player with USB & Aux-in,Yes,Yes,"2 years /1,00,000 Kms (years/distance whichever comes first)",Yes,Internal,243,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Up to 5 Year /,Yes,Internal,Digital,Manual,Analog + Digital,Yes,No,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,2510,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,Yes,Yes,No,No,Yes,No,Manual Adjustment,No,No,No,No,No,Yes,No,Yes,No,No,No,No,1
Mahindra,Kuv100 Nxt,K8 6Str,693550,1198,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35,Petrol,1655,3700,1735,Hatchback,5,15.5 km/litre,18.15 km/litre,18.15 km/litre,5,170 mm,Ventilated Disc,Drum,Independent McPherson struts with offset coil spring/twin tube gas damper units and lower L-arms with optimised bushes mounted on separate cross-member with stabiliser bar. Dual-path body mounts.,"Semi-independent, Twist Beam with Coil Springs and Hydraulic Shock Absorbers",185/65R14,185/65R14,Electric Power,All Windows,Remote,82PS@5500RPM,115NM@3500-3600RPM,Digital,Yes,Analog,Yes,6,Fabric,Manual,2385,185/65R14,No,1,CD Player with USB & Aux-in,Yes,Yes,"2 years /1,00,000 Kms (years/distance whichever comes first)",Yes,Internal,243,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Up to 5 Year /,Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.05 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,2510,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,Yes,Yes,No,No,Yes,No,Manual Adjustment,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,1
Mahindra,Kuv100 Nxt,K8 D 6Str,787304,1198,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35,Diesel,1655,3700,1735,Hatchback,5,22.25 km/litre,25.32 km/litre,25.32 km/litre,5,170 mm,Ventilated Disc,Drum,Independent McPherson struts with offset coil spring/twin tube gas damper units and lower L-arms with optimised bushes mounted on separate cross-member with stabiliser bar. Dual-path body mounts.,"Semi-independent, Twist Beam with Coil Springs and Hydraulic Shock Absorbers",185/65R14,185/65R14,Electric Power,All Windows,Remote,77PS@3750RPM,190NM@1750-2250RPM,Digital,"Analog, Digital",Analog,Yes,6,Fabric,Manual,2385,185/65R14,No,1,CD Player with USB & Aux-in,Yes,Yes,"2 years /1,00,000 Kms (years/distance whichever comes first)",Yes,Internal,243,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Up to 5 Year /,Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.05 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,2510,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,Yes,Yes,No,No,Yes,No,Manual Adjustment,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,1
Mahindra,Kuv100 Nxt,K8 6 Str Dual Tone,701045,1198,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35,Petrol,1655,3700,1735,Hatchback,5,15.5 km/litre,18.15 km/litre,18.15 km/litre,5,170 mm,Ventilated Disc,Drum,Independent McPherson struts with offset coil spring/twin tube gas damper units and lower L-arms with optimised bushes mounted on separate cross-member with stabiliser bar. Dual-path body mounts.,"Semi-independent, Twist Beam with Coil Springs and Hydraulic Shock Absorbers",185/65R14,185/65R14,Electric Power,All Windows,Remote,82PS@5500RPM,115NM@3500-3600RPM,Digital,Yes,Analog,Yes,6,Fabric,Manual,2385,185/65R14,No,1,CD Player with USB & Aux-in,Yes,Yes,"2 years /1,00,000 Kms (years/distance whichever comes first)",Yes,Internal,243,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Up to 5 Year /,Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.05 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,2510,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,Yes,Yes,No,No,Yes,No,Manual Adjustment,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,1
Mahindra,Kuv100 Nxt,K8 D 6 Str Dual Tone,794800,1198,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35,Diesel,1655,3700,1735,Hatchback,5,22.25 km/litre,25.32 km/litre,25.32 km/litre,5,170 mm,Ventilated Disc,Drum,Independent McPherson struts with offset coil spring/twin tube gas damper units and lower L-arms with optimised bushes mounted on separate cross-member with stabiliser bar. Dual-path body mounts.,"Semi-independent, Twist Beam with Coil Springs and Hydraulic Shock Absorbers",185/65R14,185/65R14,Electric Power,All Windows,Remote,77PS@3750RPM,190NM@1750-2250RPM,Digital,"Analog, Digital",Analog,Yes,6,Fabric,Manual,2385,185/65R14,No,1,CD Player with USB & Aux-in,Yes,Yes,"2 years /1,00,000 Kms (years/distance whichever comes first)",Yes,Internal,243,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Up to 5 Year /,Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.05 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,2510,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,Yes,Yes,No,No,Yes,No,Manual Adjustment,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,1
Mahindra,Kuv100 Nxt,K6+ 5Str,631146,1198,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35,Petrol,1655,3700,1735,Hatchback,5,15.5 km/litre,18.15 km/litre,18.15 km/litre,5,170 mm,Ventilated Disc,Drum,Independent McPherson struts with offset coil spring/twin tube gas damper units and lower L-arms with optimised bushes mounted on separate cross-member with stabiliser bar. Dual-path body mounts.,"Semi-independent, Twist Beam with Coil Springs and Hydraulic Shock Absorbers",185/65R14,185/65R14,Electric Power,All Windows,Remote,82PS@5500RPM,115NM@3500-3600RPM,Digital,Yes,Analog,Yes,5,Fabric,Manual,2385,185/65R14,No,1,CD Player with USB & Aux-in,Yes,Yes,"2 years /1,00,000 Kms (years/distance whichever comes first)",Yes,Internal,243,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Up to 5 Year /,Yes,Internal,Digital,Manual,Analog + Digital,Yes,No,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,2510,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,Yes,Yes,No,No,Yes,No,Manual Adjustment,No,No,No,No,No,Yes,No,Yes,No,No,No,No,1
Mahindra,Kuv100 Nxt,K8 5Str,687175,1198,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35,Petrol,1655,3700,1735,Hatchback,5,15.5 km/litre,18.15 km/litre,18.15 km/litre,5,170 mm,Ventilated Disc,Drum,Independent McPherson struts with offset coil spring/twin tube gas damper units and lower L-arms with optimised bushes mounted on separate cross-member with stabiliser bar. Dual-path body mounts.,"Semi-independent, Twist Beam with Coil Springs and Hydraulic Shock Absorbers",185/65R14,185/65R14,Electric Power,All Windows,Remote,82PS@5500RPM,115NM@3500-3600RPM,Digital,Yes,Analog,Yes,5,Fabric,Manual,2385,185/65R14,No,1,CD Player with USB & Aux-in,Yes,Yes,"2 years /1,00,000 Kms (years/distance whichever comes first)",Yes,Internal,243,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Up to 5 Year /,Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.05 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,2510,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,Yes,Yes,No,No,Yes,No,Manual Adjustment,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,1
Mahindra,Kuv100 Nxt,K8 D 5Str,780884,1198,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35,Diesel,1655,3700,1735,Hatchback,5,22.25 km/litre,25.32 km/litre,25.32 km/litre,5,170 mm,Ventilated Disc,Drum,Independent McPherson struts with offset coil spring/twin tube gas damper units and lower L-arms with optimised bushes mounted on separate cross-member with stabiliser bar. Dual-path body mounts.,"Semi-independent, Twist Beam with Coil Springs and Hydraulic Shock Absorbers",185/65R14,185/65R14,Electric Power,All Windows,Remote,77PS@3750RPM,190NM@1750-2250RPM,Digital,"Analog, Digital",Analog,Yes,5,Fabric,Manual,2385,185/65R14,No,1,CD Player with USB & Aux-in,Yes,Yes,"2 years /1,00,000 Kms (years/distance whichever comes first)",Yes,Internal,243,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Up to 5 Year /,Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.05 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,2510,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,Yes,Yes,No,No,Yes,No,Manual Adjustment,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,1
Maruti Suzuki,Swift,Vxi,619000,1197,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,37,Petrol,1530,3840,1735,Hatchback,5,12 km/litre,23 km/litre,20.4 km/litre,5,163 mm,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,165/80R14,165/80R14,Electric Power,All Windows,Remote,83PS@6000rpm,113Nm@4200RPM,Digital,Analog,Analog,Yes,5,Fabric,Manual,2450,165/80R14,No,1,CD Player with USB & Aux-in,Yes,Yes,2 years /40000 Kms (years/distance whichever comes first),Yes,Internal,268,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,With Remote,Analog,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Front Row,1315,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,Yes,Yes,No,No,No,Yes,Manual Adjustment,No,No,No,No,No,No,No,Yes,No,No,No,No,1
Maruti Suzuki,Swift,Vxi Amt,666000,1197,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,37,Petrol,1530,3840,1735,Hatchback,5,12 km/litre,23 km/litre,20.4 km/litre,5,163 mm,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,165/80R14,165/80R14,Electric Power,All Windows,Remote,83PS@6000rpm,113Nm@4200RPM,Digital,Analog,Analog,Yes,5,Fabric,Automatic,2450,165/80R14,No,1,CD Player with USB & Aux-in,Yes,Yes,2 years /40000 Kms (years/distance whichever comes first),Yes,Internal,268,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,With Remote,Analog,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Front Row,1315,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,No,2,Yes,Yes,No,No,No,Yes,Manual Adjustment,No,No,No,No,No,No,No,Yes,No,No,No,No,1
Maruti Suzuki,Swift,Zxi,678000,1197,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,37,Petrol,1530,3840,1735,Hatchback,5,12 km/litre,23 km/litre,20.4 km/litre,5,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,185/65R15,185/65R15,Electric Power,All Windows,"Remote, Smart Key",83PS@6000rpm,113Nm@4200RPM,Digital,Analog,Analog,Yes,5,Fabric,Manual,2450,185/65R15,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years /40000 Kms (years/distance whichever comes first),Yes,Internal,268,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,With Remote,Analog,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,1315,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,No,Yes,No,No,No,Yes,Manual Adjustment,No,No,No,No,No,No,No,Yes,No,No,No,No,1
Maruti Suzuki,Swift,Zxi Amt,725000,1197,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,37,Petrol,1530,3840,1735,Hatchback,5,12 km/litre,23 km/litre,20.4 km/litre,5,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,185/65R15,185/65R15,Electric Power,All Windows,"Remote, Smart Key",83PS@6000rpm,113Nm@4200RPM,Digital,Analog,Analog,Yes,5,Fabric,Automatic,2450,185/65R15,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years /40000 Kms (years/distance whichever comes first),Yes,Internal,268,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,With Remote,Analog,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,1315,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,No,2,No,Yes,No,No,No,Yes,Manual Adjustment,No,No,No,No,No,No,No,Yes,No,No,No,No,1
Maruti Suzuki,Swift,Zxi Plus,758000,1197,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,37,Petrol,1530,3840,1735,Hatchback,5,12 km/litre,23 km/litre,20.4 km/litre,5,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,185/65R15,185/65R15,Electric Power,All Windows,"Remote, Smart Key",83PS@6000rpm,113Nm@4200RPM,Digital,Analog,Analog,Yes,5,Fabric,Manual,2450,185/65R15,Yes,Yes,USB & Aux-in,Yes,Yes,2 years /40000 Kms (years/distance whichever comes first),Yes,Internal,268,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",No,With Remote,Analog,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,1315,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,No,Yes,No,No,No,Yes,Manual Adjustment,No,No,No,Yes,No,No,No,Yes,No,No,No,No,1
Maruti Suzuki,Swift,Vdi,698000,1248,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,37,Diesel,1530,3840,1735,Hatchback,5,12 km/litre,23 km/litre,25.2 km/litre,5,165 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,165/80R14,165/80R14,Electric Power,All Windows,Remote,75PS@4000rpm,190Nm@2000rpm,Digital,Analog,Analog,Yes,5,Fabric,Manual,2450,165/80R14,No,1,CD Player with USB & Aux-in,Yes,Yes,2 years /40000 Kms (years/distance whichever comes first),Yes,Internal,268,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,With Remote,Analog,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Front Row,1405,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,Yes,Yes,No,No,No,Yes,Manual Adjustment,No,No,No,No,No,No,Yes,Yes,No,No,No,No,1
Maruti Suzuki,Swift,Vdi Amt,745000,1248,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,37,Diesel,1530,3840,1735,Hatchback,5,12 km/litre,23 km/litre,25.2 km/litre,5,165 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,165/80R14,165/80R14,Electric Power,All Windows,Remote,75PS@4000rpm,190Nm@2000rpm,Digital,Analog,Analog,Yes,5,Fabric,Automatic,2450,165/80R14,No,1,CD Player with USB & Aux-in,Yes,Yes,2 years /40000 Kms (years/distance whichever comes first),Yes,Internal,268,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,With Remote,Analog,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Front Row,1405,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,No,2,Yes,Yes,No,No,No,Yes,Manual Adjustment,No,No,No,No,No,No,Yes,Yes,No,No,No,No,1
Maruti Suzuki,Swift,Zdi,757000,1248,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,37,Diesel,1530,3840,1735,Hatchback,5,12 km/litre,23 km/litre,25.2 km/litre,5,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,185/65R15,185/65R15,Electric Power,All Windows,"Remote, Smart Key",75PS@4000rpm,190Nm@2000rpm,Digital,Analog,Analog,Yes,5,Fabric,Manual,2450,185/65R15,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years /40000 Kms (years/distance whichever comes first),Yes,Internal,268,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Analog,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Fully automatic climate control,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,1405,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,No,Yes,No,No,No,Yes,Manual Adjustment,No,No,No,No,No,No,Yes,Yes,No,No,No,No,1
Maruti Suzuki,Swift,Zdi Amt,804000,1248,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,37,Diesel,1530,3840,1735,Hatchback,5,12 km/litre,23 km/litre,25.2 km/litre,5,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,185/65R15,185/65R15,Electric Power,All Windows,"Remote, Smart Key",75PS@4000rpm,190Nm@2000rpm,Digital,Analog,Analog,Yes,5,Fabric,Automatic,2450,185/65R15,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years /40000 Kms (years/distance whichever comes first),Yes,Internal,268,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,With Remote,Analog,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Fully automatic climate control,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,1405,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,No,2,No,Yes,No,No,No,Yes,Manual Adjustment,No,No,No,No,No,No,Yes,Yes,No,No,No,No,1
Maruti Suzuki,Swift,Zdi Plus,838000,1248,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,37,Diesel,1530,3840,1735,Hatchback,5,12 km/litre,23 km/litre,25.2 km/litre,5,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,185/65R15,185/65R15,Electric Power,All Windows,"Remote, Smart Key",75PS@4000rpm,190Nm@2000rpm,Digital,Analog,Analog,Yes,5,Fabric,Manual,2450,185/65R15,Yes,Yes,USB & Aux-in,Yes,Yes,2 years /40000 Kms (years/distance whichever comes first),Yes,Internal,268,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",No,With Remote,Analog,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Fully automatic climate control,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,1405,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,No,Yes,No,No,No,Yes,Manual Adjustment,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,1
Maruti Suzuki,Swift,Zxi Plus Amt,802000,1197,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,37,Petrol,1530,3840,1735,Hatchback,5,12 km/litre,23 km/litre,20.4 km/litre,5,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,185/65R15,185/65R15,Electric Power,All Windows,"Remote, Smart Key",83PS@6000rpm,113Nm@4200RPM,Digital,Analog,Analog,Yes,5,Fabric,Automatic,2450,185/65R15,Yes,Yes,USB & Aux-in,Yes,Yes,2 years /40000 Kms (years/distance whichever comes first),Yes,Internal,268,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",No,With Remote,Analog,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,1315,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,No,Yes,No,No,No,Yes,Manual Adjustment,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,1
Maruti Suzuki,Swift,Zdi Plus Amt,884000,1248,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,37,Diesel,1530,3840,1735,Hatchback,5,12 km/litre,23 km/litre,25.2 km/litre,5,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,185/65R15,185/65R15,Electric Power,All Windows,"Remote, Smart Key",75PS@4000rpm,190Nm@2000rpm,Digital,Analog,Analog,Yes,5,Fabric,Automatic,2450,185/65R15,Yes,Yes,USB & Aux-in,Yes,Yes,2 years /40000 Kms (years/distance whichever comes first),Yes,Internal,268,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",No,With Remote,Analog,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Fully automatic climate control,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,1405,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,No,Yes,No,No,No,Yes,Manual Adjustment,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,1
Tata,Altroz,Xt Petrol,684000,1199,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,37,Petrol,1523,3990,1755,Hatchback,5,12 km/litre,18 km/litre,16 km/litre,5,165 mm,Ventilated Disc,Drum,Independent MacPherson Dual path Strut with coil spring,Twist Beam with Coil spring and Shock Absorber,165/80R14,165/80R14,Electric Power,All Windows,Remote,86PS@6000rpm,113Nm@3300rpm,Digital,"Analog, Digital",Analog,1,5,Fabric,Manual,2501,165/80R14,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,Internal,345,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,2 years /100000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,5 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Front Row,2510,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,No,Manual Adjustment,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,1
